region,subregion,industry,segment,sales,quantity,discount,city
EMEA,EU-EAST,Retail,SMB,102.36,3,0.2,Moscow
EMEA,EU-EAST,Retail,SMB,36.882,3,0.7,Moscow
EMEA,NOR,Tech,SMB,74.112,8,0.2,Stockholm
EMEA,NOR,Tech,SMB,27.992,1,0.2,Stockholm
EMEA,NOR,Tech,SMB,3.304,1,0.2,Stockholm
APJ,ANZ,Transportation,Enterprise,339.96,5,0.2,Canberra
EMEA,UKIR,Finance,Strategic,41.96,2,0.0,London
EMEA,EU-WEST,Retail,SMB,75.96,2,0.0,The Hague
EMEA,EU-WEST,Retail,SMB,27.24,6,0.0,The Hague
AMER,LATAM,Tech,SMB,40.096,14,0.2,Mexico City
AMER,LATAM,Tech,SMB,4.72,2,0.2,Mexico City
AMER,LATAM,Tech,SMB,23.976,3,0.2,Mexico City
AMER,LATAM,Tech,SMB,130.464,6,0.2,Mexico City
AMER,NAMER,Finance,SMB,787.53,3,0.0,Toronto
EMEA,MEA,Energy,Strategic,157.794,1,0.7,Cape Town
APJ,APAC,Healthcare,SMB,47.04,3,0.0,Manila
APJ,APAC,Healthcare,SMB,30.84,4,0.0,Manila
APJ,APAC,Healthcare,SMB,226.56,6,0.0,Manila
APJ,APAC,Healthcare,SMB,115.02,9,0.0,Manila
APJ,APAC,Healthcare,SMB,68.04,7,0.0,Manila
APJ,JAPN,Transportation,Enterprise,600.558,3,0.3,Tokyo
APJ,ANZ,Retail,SMB,617.7,6,0.5,Geelong
AMER,LATAM,Manufacturing,SMB,2.388,2,0.7,Santiago
AMER,LATAM,Manufacturing,SMB,243.992,7,0.2,Santiago
AMER,NAMER,Finance,Enterprise,81.424,2,0.2,New York City
AMER,NAMER,Finance,Enterprise,238.56,3,0.0,New York City
AMER,LATAM,Finance,Strategic,59.97,5,0.4,Mexico City
AMER,LATAM,Finance,Strategic,78.304,2,0.2,Mexico City
AMER,LATAM,Finance,Strategic,21.456,9,0.2,Mexico City
AMER,NAMER,Retail,SMB,20.04,3,0.0,Aurora
AMER,NAMER,Retail,SMB,35.44,1,0.0,Aurora
AMER,NAMER,Retail,SMB,11.52,4,0.0,Aurora
AMER,NAMER,Retail,SMB,4.02,2,0.0,Aurora
AMER,NAMER,Retail,SMB,76.176,3,0.2,Aurora
AMER,NAMER,Retail,SMB,65.88,6,0.0,Aurora
AMER,NAMER,Retail,SMB,43.12,14,0.0,Aurora
EMEA,EU-WEST,Manufacturing,Strategic,82.8,2,0.2,Paris
AMER,NAMER,Finance,Strategic,8.82,3,0.0,Los Angeles
AMER,NAMER,Finance,Strategic,10.86,3,0.0,Los Angeles
AMER,NAMER,Finance,Strategic,143.7,3,0.0,Los Angeles
EMEA,EU-WEST,Communications,SMB,839.43,3,0.0,Warsaw
AMER,NAMER,Healthcare,SMB,671.93,7,0.0,Newark
AMER,LATAM,Manufacturing,Enterprise,93.888,4,0.2,Monterrey
EMEA,EU,Retail,Strategic,384.45,11,0.0,Rome
EMEA,EU,Retail,Strategic,149.97,3,0.0,Rome
EMEA,EU,Retail,Strategic,1951.84,8,0.0,Rome
EMEA,EU,Retail,Strategic,171.55,5,0.0,Rome
AMER,LATAM,Healthcare,Enterprise,157.92,5,0.2,Puente Alto
AMER,LATAM,Healthcare,Enterprise,203.184,2,0.2,Puente Alto
AMER,NAMER,Energy,Strategic,58.38,7,0.0,Chicago
AMER,NAMER,Energy,Strategic,105.52,4,0.0,Chicago
AMER,NAMER,Energy,Strategic,80.88,6,0.0,Chicago
AMER,NAMER,Tech,Enterprise,6.63,3,0.0,Toronto
AMER,NAMER,Finance,SMB,457.568,2,0.2,Toronto
APJ,APAC,Transportation,SMB,14.62,2,0.0,Singapore
APJ,APAC,Transportation,SMB,944.93,7,0.0,Singapore
AMER,NAMER,Finance,SMB,5.98,1,0.0,New York City
EMEA,EU-WEST,Retail,SMB,54.384,2,0.2,Paris
APJ,ANZ,Consumer Products,SMB,28.4,5,0.0,Wellington
AMER,NAMER,Manufacturing,SMB,27.68,2,0.2,Toronto
APJ,JAPN,Transportation,SMB,9.936,3,0.2,Osaka
APJ,JAPN,Transportation,SMB,8159.952,8,0.4,Osaka
APJ,JAPN,Transportation,SMB,275.928,3,0.2,Osaka
APJ,JAPN,Transportation,SMB,1740.06,9,0.3,Osaka
APJ,JAPN,Transportation,SMB,32.064,6,0.2,Osaka
APJ,JAPN,Transportation,SMB,177.98,5,0.8,Osaka
APJ,JAPN,Transportation,SMB,143.976,3,0.2,Osaka
AMER,NAMER,Energy,SMB,20.94,3,0.0,New York City
AMER,NAMER,Energy,SMB,110.96,2,0.0,New York City
AMER,NAMER,Energy,SMB,340.144,7,0.2,New York City
APJ,ANZ,Energy,Strategic,52.448,2,0.8,Sydney
APJ,ANZ,Energy,Strategic,20.16,4,0.2,Sydney
APJ,JAPN,Finance,SMB,97.264,4,0.8,Tokyo
AMER,LATAM,Tech,SMB,396.802,7,0.3,Monterrey
AMER,LATAM,Tech,SMB,15.88,5,0.2,Monterrey
EMEA,UKIR,Tech,Enterprise,3.28,1,0.0,London
APJ,ANZ,Healthcare,Strategic,24.816,2,0.2,Melbourne
APJ,ANZ,Healthcare,Strategic,408.744,7,0.2,Melbourne
EMEA,EU-EAST,Healthcare,Enterprise,503.96,4,0.0,Prague
EMEA,EU-EAST,Healthcare,Enterprise,149.95,5,0.0,Prague
EMEA,EU-EAST,Healthcare,Enterprise,29.0,2,0.0,Prague
EMEA,MEA,Finance,SMB,7.16,2,0.0,Riyadh
AMER,NAMER,Communications,Enterprise,176.8,8,0.0,Raleigh
APJ,JAPN,Retail,Strategic,37.224,3,0.2,Tokyo
APJ,JAPN,Retail,Strategic,20.016,3,0.2,Saitama
EMEA,UKIR,Tech,Enterprise,899.136,4,0.2,London
EMEA,UKIR,Tech,Enterprise,71.76,6,0.0,London
EMEA,UKIR,Tech,Enterprise,51.84,8,0.0,London
EMEA,UKIR,Tech,Enterprise,626.352,3,0.2,London
EMEA,UKIR,Tech,Enterprise,19.9,5,0.0,London
AMER,NAMER,Finance,Strategic,14.28,7,0.0,Providence
AMER,LATAM,Consumer Products,SMB,7.408,2,0.2,Mexico City
AMER,LATAM,Consumer Products,SMB,6.048,3,0.2,Mexico City
AMER,LATAM,Manufacturing,Enterprise,46.26,3,0.0,Córdoba
EMEA,EU-WEST,Healthcare,Strategic,2.946,2,0.7,Paris
EMEA,EU-WEST,Healthcare,Strategic,16.056,3,0.2,Paris
AMER,LATAM,Energy,SMB,21.744,3,0.2,Guadalajara
EMEA,EU-EAST,Healthcare,SMB,218.75,2,0.5,Moscow
EMEA,EU-EAST,Healthcare,SMB,2.6,1,0.2,Moscow
APJ,JAPN,Communications,SMB,66.284,2,0.8,Aichi
EMEA,MEA,Tech,Strategic,35.168,7,0.2,Cape Town
AMER,NAMER,Healthcare,SMB,444.768,4,0.2,Oklahoma City
AMER,LATAM,Finance,SMB,83.92,4,0.0,Rio de Janeiro
AMER,LATAM,Finance,SMB,131.98,2,0.0,Rio de Janeiro
AMER,LATAM,Finance,SMB,15.92,4,0.0,Rio de Janeiro
AMER,LATAM,Finance,SMB,52.29,9,0.0,Rio de Janeiro
AMER,LATAM,Finance,SMB,91.99,1,0.0,Rio de Janeiro
APJ,JAPN,Manufacturing,Strategic,20.8,2,0.2,Aichi
AMER,LATAM,Consumer Products,Strategic,23.68,2,0.2,Mexico City
AMER,LATAM,Consumer Products,Strategic,452.45,5,0.5,Mexico City
AMER,LATAM,Consumer Products,Strategic,62.982,3,0.4,Mexico City
AMER,LATAM,Consumer Products,Strategic,1188.0,9,0.7,Mexico City
AMER,LATAM,Consumer Products,Strategic,89.584,2,0.2,Mexico City
AMER,NAMER,Finance,SMB,93.06,6,0.0,New York City
AMER,NAMER,Finance,SMB,302.376,3,0.2,New York City
AMER,LATAM,Energy,SMB,5.584,2,0.2,Puerto Vallarta
AMER,LATAM,Energy,SMB,22.704,6,0.2,Puerto Vallarta
AMER,LATAM,Energy,SMB,19.776,4,0.7,Puerto Vallarta
AMER,LATAM,Energy,SMB,72.704,4,0.2,Puerto Vallarta
AMER,LATAM,Energy,SMB,479.988,4,0.7,Puerto Vallarta
AMER,LATAM,Energy,SMB,27.168,2,0.2,Puerto Vallarta
AMER,LATAM,Finance,Strategic,2.2,1,0.0,São Paulo
AMER,LATAM,Finance,Strategic,622.45,5,0.0,São Paulo
AMER,LATAM,Finance,Strategic,21.98,1,0.0,São Paulo
EMEA,MEA,Transportation,SMB,161.568,2,0.2,Johannesburg
EMEA,MEA,Transportation,SMB,389.696,8,0.2,Johannesburg
EMEA,NOR,Retail,Strategic,18.648,7,0.7,Stockholm
EMEA,EU-WEST,Energy,Enterprise,233.86,2,0.45,Cologne
EMEA,EU-WEST,Energy,Enterprise,620.6145,3,0.45,Cologne
EMEA,EU-WEST,Energy,Enterprise,5.328,2,0.7,Cologne
EMEA,EU-WEST,Energy,Enterprise,258.072,3,0.2,Cologne
EMEA,EU-WEST,Energy,Enterprise,617.976,3,0.2,Cologne
AMER,NAMER,Healthcare,Strategic,10.56,2,0.0,Rochester
APJ,ANZ,Retail,SMB,25.92,5,0.2,Sydney
APJ,ANZ,Retail,SMB,419.68,5,0.6,Sydney
APJ,ANZ,Retail,SMB,11.688,3,0.6,Sydney
APJ,ANZ,Retail,SMB,31.984,2,0.2,Sydney
APJ,ANZ,Retail,SMB,177.225,5,0.5,Sydney
APJ,ANZ,Retail,SMB,4.044,3,0.6,Sydney
APJ,ANZ,Retail,SMB,7.408,2,0.2,Sydney
EMEA,EU-WEST,Manufacturing,Enterprise,2001.86,7,0.0,Luxembourg
EMEA,EU-WEST,Manufacturing,Enterprise,166.72,2,0.0,Luxembourg
EMEA,EU-WEST,Manufacturing,Enterprise,47.88,6,0.0,Luxembourg
EMEA,EU-WEST,Manufacturing,Enterprise,1503.25,5,0.0,Luxembourg
EMEA,EU-WEST,Manufacturing,Enterprise,25.92,4,0.0,Luxembourg
AMER,NAMER,Healthcare,SMB,321.568,2,0.2,Los Angeles
AMER,NAMER,Retail,SMB,7.61,1,0.0,Seattle
AMER,NAMER,Retail,SMB,3347.37,13,0.0,Seattle
EMEA,UKIR,Finance,SMB,80.58,6,0.0,London
EMEA,UKIR,Finance,SMB,361.92,4,0.0,London
APJ,ANZ,Healthcare,Strategic,12.132,9,0.6,Sydney
APJ,ANZ,Healthcare,Strategic,82.368,2,0.2,Sydney
APJ,ANZ,Healthcare,Strategic,53.92,5,0.2,Sydney
APJ,ANZ,Healthcare,Strategic,647.904,6,0.2,Sydney
EMEA,UKIR,Finance,SMB,20.37,3,0.0,London
EMEA,UKIR,Finance,SMB,221.55,3,0.0,London
EMEA,UKIR,Finance,SMB,17.52,5,0.2,London
APJ,JAPN,Energy,Strategic,1.624,2,0.8,Tokyo
APJ,JAPN,Tech,Strategic,3059.982,3,0.4,Tokyo
APJ,JAPN,Tech,Strategic,2519.958,7,0.4,Tokyo
APJ,ANZ,Retail,SMB,328.224,4,0.2,Sydney
AMER,NAMER,Manufacturing,SMB,79.9,2,0.0,Detroit
EMEA,NOR,Retail,Strategic,14.016,3,0.2,Stockholm
AMER,LATAM,Transportation,SMB,7.56,6,0.0,Córdoba
AMER,LATAM,Tech,Strategic,37.208,1,0.2,Guadalajara
AMER,LATAM,Tech,Strategic,57.576,3,0.2,Guadalajara
AMER,NAMER,Tech,Strategic,725.84,4,0.0,Los Angeles
AMER,NAMER,Healthcare,SMB,209.93,7,0.0,Los Angeles
AMER,NAMER,Healthcare,SMB,5.28,3,0.0,Los Angeles
AMER,NAMER,Healthcare,SMB,10.92,3,0.2,Los Angeles
AMER,NAMER,Retail,Strategic,8.82,2,0.0,Lafayette
AMER,NAMER,Retail,Strategic,5.98,1,0.0,Lafayette
EMEA,EU-WEST,Energy,Strategic,11.648,2,0.2,Paris
EMEA,EU-WEST,Energy,Strategic,18.176,4,0.2,Paris
EMEA,EU-WEST,Energy,Strategic,59.712,6,0.2,Paris
EMEA,EU-WEST,Energy,Strategic,24.84,3,0.2,Paris
APJ,JAPN,Healthcare,SMB,2.08,5,0.8,Tokyo
APJ,JAPN,Healthcare,SMB,1114.4,7,0.2,Tokyo
AMER,NAMER,Energy,SMB,1038.84,5,0.2,New York City
EMEA,EU-WEST,Tech,SMB,141.76,5,0.2,Brussels
EMEA,EU-WEST,Tech,SMB,239.8,5,0.2,Brussels
EMEA,EU-WEST,Tech,SMB,31.104,6,0.2,Brussels
EMEA,EU-WEST,Communications,Strategic,254.058,7,0.7,Munich
EMEA,EU-WEST,Communications,Strategic,194.528,2,0.2,Munich
EMEA,EU-WEST,Communications,Strategic,961.48,5,0.2,Munich
AMER,LATAM,Manufacturing,Enterprise,19.096,7,0.2,Mexico City
AMER,LATAM,Manufacturing,Enterprise,18.496,8,0.2,Mexico City
AMER,LATAM,Manufacturing,Enterprise,255.984,2,0.2,Mexico City
AMER,LATAM,Manufacturing,Enterprise,86.97,3,0.5,Mexico City
EMEA,EU-EAST,Healthcare,Strategic,300.416,8,0.2,St Petersburg
EMEA,EU-EAST,Healthcare,Strategic,230.352,3,0.2,St Petersburg
EMEA,EU-EAST,Healthcare,Strategic,218.352,3,0.2,St Petersburg
EMEA,EU-EAST,Healthcare,Strategic,78.6,5,0.7,St Petersburg
EMEA,EU-EAST,Healthcare,Strategic,27.552,3,0.2,St Petersburg
AMER,LATAM,Manufacturing,Strategic,32.4,5,0.0,Buenos Aires
AMER,LATAM,Manufacturing,Strategic,1082.48,8,0.0,Buenos Aires
AMER,LATAM,Manufacturing,Strategic,56.91,3,0.0,Buenos Aires
AMER,LATAM,Manufacturing,Strategic,77.6,4,0.0,Buenos Aires
AMER,LATAM,Manufacturing,Strategic,14.28,1,0.0,Buenos Aires
APJ,ANZ,Finance,SMB,219.075,3,0.5,Sydney
EMEA,UKIR,Finance,Strategic,26.8,2,0.0,London
AMER,LATAM,Transportation,Strategic,9.84,3,0.0,Salvador
AMER,LATAM,Finance,Enterprise,45.48,3,0.0,Buenos Aires
AMER,LATAM,Finance,Enterprise,289.2,6,0.0,Buenos Aires
EMEA,EU-WEST,Tech,SMB,4.89,1,0.0,Madrid
EMEA,EU-EAST,Finance,Strategic,15.136,4,0.2,St Petersburg
EMEA,EU-EAST,Finance,Strategic,466.768,2,0.2,St Petersburg
EMEA,EU-EAST,Finance,Strategic,15.232,1,0.2,St Petersburg
EMEA,EU-EAST,Finance,Strategic,6.264,3,0.2,St Petersburg
AMER,LATAM,Finance,Strategic,87.54,3,0.0,Mendoza
EMEA,EU-WEST,Energy,Strategic,178.384,2,0.2,Leipzig
EMEA,EU-WEST,Energy,Strategic,15.552,3,0.2,Leipzig
EMEA,EU-WEST,Communications,Strategic,99.136,4,0.2,Paris
EMEA,UKIR,Finance,Enterprise,135.882,1,0.1,London
EMEA,UKIR,Finance,Enterprise,3991.98,2,0.0,London
EMEA,UKIR,Finance,Enterprise,275.94,6,0.0,London
EMEA,UKIR,Finance,Enterprise,360.0,4,0.0,London
EMEA,UKIR,Finance,Enterprise,43.57,1,0.0,London
AMER,NAMER,Transportation,Strategic,7.16,2,0.0,Jacksonville
AMER,NAMER,Tech,Strategic,251.52,6,0.2,Long Beach
AMER,NAMER,Tech,Strategic,99.99,1,0.0,Long Beach
EMEA,MEA,Manufacturing,Strategic,15.992,1,0.2,Johannesburg
EMEA,EU-WEST,Healthcare,SMB,290.898,3,0.4,Paris
EMEA,EU-WEST,Healthcare,SMB,54.224,2,0.2,Paris
EMEA,EU-WEST,Healthcare,SMB,786.744,4,0.3,Paris
EMEA,EU-WEST,Healthcare,SMB,100.24,10,0.2,Paris
EMEA,EU-WEST,Healthcare,SMB,37.764,6,0.7,Paris
EMEA,EU-WEST,Healthcare,SMB,82.8,2,0.4,Paris
EMEA,EU-WEST,Healthcare,SMB,20.724,2,0.7,Paris
EMEA,EU-WEST,Healthcare,SMB,4.896,3,0.7,Paris
AMER,NAMER,Finance,SMB,4.752,1,0.2,New York City
AMER,NAMER,Finance,SMB,959.984,2,0.2,New York City
AMER,NAMER,Finance,SMB,14.368,4,0.2,New York City
AMER,NAMER,Communications,Strategic,7.712,2,0.2,Los Angeles
AMER,NAMER,Communications,Strategic,698.352,3,0.2,Los Angeles
EMEA,MEA,Retail,SMB,4.96,4,0.0,Istanbul
EMEA,EU-WEST,Manufacturing,Strategic,17.856,4,0.2,Paris
EMEA,EU-WEST,Manufacturing,Strategic,509.97,10,0.7,Paris
EMEA,EU-WEST,Manufacturing,Strategic,30.992,13,0.2,Paris
EMEA,EU-WEST,Manufacturing,Strategic,71.928,12,0.4,Paris
APJ,JAPN,Energy,SMB,88.8,4,0.2,Chiba
AMER,NAMER,Retail,SMB,47.976,3,0.2,Los Angeles
APJ,APAC,Consumer Products,SMB,7.56,3,0.0,Incheon
APJ,APAC,Consumer Products,SMB,24.56,2,0.0,Incheon
APJ,APAC,Consumer Products,SMB,12.96,2,0.0,Incheon
EMEA,UKIR,Manufacturing,Enterprise,6.79,1,0.0,London
EMEA,UKIR,Manufacturing,Enterprise,24.56,2,0.0,London
EMEA,UKIR,Manufacturing,Enterprise,3.048,1,0.2,London
EMEA,UKIR,Manufacturing,Enterprise,49.12,4,0.0,London
EMEA,UKIR,Manufacturing,Enterprise,4355.168,4,0.2,London
EMEA,UKIR,Consumer Products,SMB,388.704,6,0.2,London
EMEA,UKIR,Consumer Products,SMB,8.26,2,0.0,London
EMEA,UKIR,Consumer Products,SMB,17.04,4,0.0,London
EMEA,UKIR,Consumer Products,SMB,34.4,5,0.0,London
EMEA,NOR,Tech,Strategic,36.24,5,0.2,Stockholm
EMEA,NOR,Finance,Strategic,647.84,8,0.0,Helsinki
EMEA,NOR,Finance,Strategic,20.7,2,0.0,Helsinki
EMEA,UKIR,Energy,SMB,20.7,2,0.0,London
EMEA,UKIR,Energy,SMB,488.646,3,0.1,London
EMEA,UKIR,Energy,SMB,5.56,2,0.0,London
EMEA,UKIR,Energy,SMB,47.12,8,0.0,London
AMER,NAMER,Tech,SMB,211.96,4,0.0,Los Angeles
EMEA,MEA,Tech,Strategic,23.2,4,0.0,Dhahran
EMEA,MEA,Tech,Strategic,7.36,2,0.0,Dhahran
EMEA,MEA,Tech,Strategic,104.79,7,0.0,Dhahran
EMEA,MEA,Tech,Strategic,1043.92,4,0.0,Dhahran
APJ,JAPN,Tech,SMB,25.92,5,0.2,Chiba
APJ,JAPN,Tech,SMB,53.424,3,0.2,Chiba
AMER,LATAM,Manufacturing,SMB,8.16,5,0.7,Santiago
AMER,LATAM,Manufacturing,SMB,1023.936,8,0.2,Santiago
AMER,LATAM,Manufacturing,SMB,9.24,1,0.2,Santiago
AMER,LATAM,Manufacturing,SMB,479.04,10,0.2,Santiago
APJ,ANZ,Finance,Strategic,99.136,4,0.2,Wollongong
APJ,APAC,Tech,Strategic,1488.424,7,0.3,Seoul
APJ,JAPN,Tech,SMB,8.652,3,0.8,Tokyo
APJ,JAPN,Tech,SMB,23.832,3,0.2,Tokyo
APJ,JAPN,Tech,SMB,12.176,4,0.8,Tokyo
AMER,NAMER,Finance,Strategic,50.96,7,0.0,Los Angeles
AMER,NAMER,Finance,Strategic,49.536,3,0.2,Los Angeles
AMER,LATAM,Tech,Strategic,41.9,2,0.0,Salvador
EMEA,EU-WEST,Communications,SMB,375.4575,3,0.45,Dresden
EMEA,EU-WEST,Communications,SMB,83.976,3,0.2,Dresden
EMEA,EU-WEST,Communications,Strategic,482.34,4,0.7,Paris
EMEA,EU-WEST,Communications,Strategic,2.96,1,0.2,Paris
AMER,LATAM,Manufacturing,SMB,2.624,1,0.2,Guadalajara
EMEA,UKIR,Manufacturing,SMB,23.36,4,0.2,London
EMEA,UKIR,Manufacturing,SMB,39.98,2,0.0,London
AMER,NAMER,Healthcare,SMB,246.384,2,0.2,Vancouver
AMER,NAMER,Healthcare,SMB,1799.97,3,0.0,Vancouver
APJ,ANZ,Manufacturing,Strategic,12.462,3,0.8,Adelaide
EMEA,EU-EAST,Energy,Enterprise,75.792,3,0.2,Tel Aviv
EMEA,NOR,Finance,Strategic,49.96,2,0.0,Hordaland
EMEA,NOR,Finance,Strategic,12.96,2,0.0,Hordaland
AMER,LATAM,Healthcare,Enterprise,70.12,4,0.0,Rio de Janeiro
APJ,JAPN,Finance,SMB,35.952,3,0.2,Tokyo
APJ,JAPN,Finance,SMB,2396.2656,4,0.32,Tokyo
APJ,JAPN,Finance,SMB,131.136,4,0.2,Tokyo
APJ,JAPN,Finance,SMB,57.584,2,0.2,Tokyo
EMEA,EU-WEST,Tech,SMB,9.568,2,0.2,Hamburg
